,,0,1,2,3
,Algorithm,Random,RAQL,SACPF,SACPA
,Reward,-21.28414871597604,-3.396776344301046,7.49427857142857,8.610893989124511
,Avg. Success,0.5112216281349542,0.8968448165933722,0.979047089638728,0.9884930383044384
PLR,D1,0.17913513573579323,0.03341334133413327,0.0,0.0
PLR,D2,0.6898367217674155,0.5158682534920167,0.14218333333333258,0.08680000000000075
PLR,D3,0.4884393201224875,0.3707570757075504,0.0002880952380952387,9.142857142857043e-05
PLR,D4,0.4390507701563839,0.30630063006299024,0.0,0.0
PLR,D5,0.461244576838636,0.34524452445242626,0.0,0.0
PLR,D6,0.8902861714742633,0.7601260126012586,0.36214999999999997,0.2066999999999996
PLR,D7,0.35965171914016963,0.1734673467346689,0.0,0.0
PLR,D8,0.4772948723443779,0.3590259025902396,0.0,0.0
PLR,D9,0.37745806326664644,0.1997399739973931,0.0,0.0
PLR,D10,0.4519872225317779,0.33193319331931526,0.0,0.0
,Δ̄ρ,-0.38143845733779513,-0.23958762542919923,0.049537857142857224,0.07064085714285712
