,,0,1,2,3
,Algorithm,Random,RAQL,SACPF,SACPA
,Reward,-21.73131243020353,-5.870840417374925,5.129803571428569,6.487539842183579
,Avg. Success,0.47055969451895585,0.8780602372552554,0.9365795013489149,0.9798388860169162
PLR,D1,0.250884374151698,0.0566256625662569,0.0,0.0
PLR,D2,0.7647481811673071,0.5816581658165793,0.19440000000000043,0.10383333333333342
PLR,D3,0.48947212181535654,0.37791779177915735,0.9999999999999615,0.0002797619047619038
PLR,D4,0.4769045158484113,0.36492982631594506,0.00010666666666666631,0.0
PLR,D5,0.4817667877898923,0.36506650665064394,0.00017047619047618943,4.857142857142864e-05
PLR,D6,0.9541013228306718,0.9178917891789219,0.673899999999997,0.6080999999999999
PLR,D7,0.4269282086938895,0.2866686668666734,0.0,0.0
PLR,D8,0.4865359154963102,0.3668766876687458,0.00020500000000000065,7.499999999999967e-05
PLR,D9,0.4419406226336941,0.3169916991698995,0.0,0.0
PLR,D10,0.48236446660539156,0.378427842784258,0.00011428571428571431,2.8571428571428733e-05
,Δ̄ρ,-0.42556465170326224,-0.30130546387970814,-0.08688964285713874,0.0287634761904762
