,,0,1,2,3
,Algorithm,Random,RAQL,SACPF,SACPA
,Reward,-23.33979410705856,-10.693112644597802,0.22877380952380919,5.339922174972817
,Avg. Success,0.4102265584483271,0.8567008584873294,0.8296991502890292,0.9513898846127253
PLR,D1,0.286686843287506,0.05797579757975853,0.0,0.0
PLR,D2,0.7985627134141886,0.5788578857885748,0.13909999999999922,0.15704999999999983
PLR,D3,0.4864567805986964,0.37525752575255444,0.9999999999999615,0.0011576190476190486
PLR,D4,0.48354450524417875,0.3653865386538447,0.0003016666666666669,0.0
PLR,D5,0.48262806439374156,0.3683068306830488,0.0005628571428571419,9.499999999999982e-05
PLR,D6,0.9738206360318381,0.9197919791979189,0.8159000000000021,0.7307999999999963
PLR,D7,0.45754377025004456,0.29600293362668184,1.9999999999999985e-05,0.0
PLR,D8,0.4880024510387559,0.3688068806880482,0.9998999999999953,0.00029452380952380865
PLR,D9,0.4600498145052611,0.31219121912189757,0.0,0.0
PLR,D10,0.48151243695798157,0.3620462046204424,4.999999999999999e-05,7.000000000000026e-05
PLR,D11,0.999837086883289,0.9993999399939996,0.9984000000000035,0.9845999999999995
PLR,D12,0.4861063884166228,0.36462646264624293,0.00019166666666666605,5.8333333333333516e-05
PLR,D13,0.4864195546538797,0.3587858785878388,0.9998999999999953,0.00020714285714285672
PLR,D14,0.974572814424283,0.9129912991299206,0.8158999999999971,0.7259999999999965
PLR,D15,0.4862815646644024,0.382318231823159,0.9999999999999615,0.0005150000000000018
,Δ̄ρ,-0.4888016949843113,-0.3681830405262621,-0.35134841269840705,-0.07338984126984076
