,,0,1,2,3
,Algorithm,Random,RAQL,SACPF,SACPA
,Reward,-22.87530028155326,-8.19477595167864,8.971849523809508,8.180502560778606
,Avg. Success,0.43836379238107614,0.8749485302933908,0.959919399728319,0.9701560698225146
PLR,D1,0.21007965875952517,0.02997471554993685,0.0,0.0
PLR,D2,0.7211489799773523,0.5304888327012242,0.12158333333333356,0.12593333333333323
PLR,D3,0.4842778722316672,0.37134007585333334,0.0004999999999999974,0.00015452380952380893
PLR,D4,0.46037833942124606,0.30389521000139275,0.0,0.0
PLR,D5,0.4721492387333986,0.3460050568899973,5.714285714285672e-05,0.0
PLR,D6,0.9193214559550899,0.7625790139064469,0.4940999999999985,0.289699999999998
PLR,D7,0.40116035413065354,0.17144121365360224,0.0,0.0
PLR,D8,0.48452309516666164,0.3661694058154075,0.00014285714285714268,0.0
PLR,D9,0.40815946674032627,0.19537294563842822,0.0,0.0
PLR,D10,0.4631777463460636,0.3198988621997357,0.0,0.0
,Δ̄ρ,-0.4024376207461984,-0.2397165332209505,0.03836166666666681,0.05842121428571449
