train/actor_loss,train/n_updates,time/fps,time/total_timesteps,time/time_elapsed,train/critic_loss,train/learning_rate,time/episodes
-193.2244873046875,9966,17,30000,1742,1.707686185836792,0.001,1
,,17,30000,1742,,,2
,,17,30000,1742,,,3
